Year,Category,Full Name,Birth Date,Birth Country,Death Country
2003,Chemistry,Roderick MacKinnon,1956-02-19,United States of America,
2003,Economics,Robert F. Engle III,1942-11-10,United States of America,
2003,Economics,Clive W.J. Granger,1934-09-04,United Kingdom,United States of America
2003,Literature,John M. Coetzee,1940-02-09,South Africa,
2003,Medicine,Paul C. Lauterbur,1929-05-06,United States of America,United States of America
2003,Medicine,Sir Peter Mansfield,1933-10-09,United Kingdom,
2003,Peace,Shirin Ebadi,1947-06-21,Iran,
2003,Physics,Alexei A. Abrikosov,1928-06-25,Union of Soviet Socialist Republics (Russia),
2003,Physics,Vitaly L. Ginzburg,1916-10-04,Russia,
2003,Physics,Anthony J. Leggett,1938-03-26,United Kingdom,
2004,Chemistry,Aaron Ciechanover,1947-10-01,British Protectorate of Palestine (Israel),
2004,Chemistry,Avram Hershko,1937-12-31,Hungary,
2004,Chemistry,Irwin Rose,1926-07-16,United States of America,United States of America
2004,Economics,Finn E. Kydland,1943-12-01,Norway,
2004,Economics,Finn E. Kydland,1943-12-01,Norway,
2004,Economics,Edward C. Prescott,1940-12-26,United States of America,
2004,Economics,Edward C. Prescott,1940-12-26,United States of America,
2004,Literature,Elfriede Jelinek,1946-10-20,Austria,
2004,Medicine,Richard Axel,1946-07-02,United States of America,
2004,Medicine,Linda B. Buck,1947-01-29,United States of America,
2004,Peace,Wangari Muta Maathai,1940-04-01,Kenya,Kenya
2004,Physics,David J. Gross,1941-02-19,United States of America,
2004,Physics,H. David Politzer,1949-08-31,United States of America,
2004,Physics,Frank Wilczek,1951-05-15,United States of America,
2005,Chemistry,Yves Chauvin,1930-10-10,Belgium,France
2005,Chemistry,Robert H. Grubbs,1942-02-27,United States of America,
2005,Chemistry,Richard R. Schrock,1945-01-04,United States of America,
2005,Economics,Robert J. Aumann,1930-06-08,Germany,
2005,Economics,Thomas C. Schelling,1921-04-14,United States of America,United States of America
2005,Literature,Harold Pinter,1930-10-10,United Kingdom,United Kingdom
2005,Medicine,Barry J. Marshall,1951-09-30,Australia,
2005,Medicine,Barry J. Marshall,1951-09-30,Australia,
2005,Medicine,J. Robin Warren,1937-06-11,Australia,
2005,Peace,International Atomic Energy Agency (IAEA),,,
2005,Peace,Mohamed ElBaradei,1942-06-17,Egypt,
2005,Physics,Roy J. Glauber,1925-09-01,United States of America,
2005,Physics,John L. Hall,1934-08-21,United States of America,
2005,Physics,John L. Hall,1934-08-21,United States of America,
2005,Physics,Theodor W. Hänsch,1941-10-30,Germany,
2005,Physics,Theodor W. Hänsch,1941-10-30,Germany,
2006,Chemistry,Roger D. Kornberg,1947-04-24,United States of America,
2006,Economics,Edmund S. Phelps,1933-07-26,United States of America,
2006,Literature,Orhan Pamuk,1952-06-07,Turkey,
2006,Medicine,Andrew Z. Fire,1959-04-27,United States of America,
2006,Medicine,Craig C. Mello,1960-10-19,United States of America,
2006,Peace,Muhammad Yunus,1940-06-28,British India (Bangladesh),
2006,Peace,Grameen Bank,,,
2006,Physics,John C. Mather,1946-08-07,United States of America,
2006,Physics,George F. Smoot,1945-02-20,United States of America,
2007,Chemistry,Gerhard Ertl,1936-10-10,Germany,
2007,Economics,Leonid Hurwicz,1917-08-21,Russia,United States of America
2007,Economics,Eric S. Maskin,1950-12-12,United States of America,
2007,Economics,Roger B. Myerson,1951-03-29,United States of America,
2007,Literature,Doris Lessing,1919-10-22,Persia (Iran),United Kingdom
2007,Medicine,Mario R. Capecchi,1937-10-06,Italy,
2007,Medicine,Mario R. Capecchi,1937-10-06,Italy,
2007,Medicine,Sir Martin J. Evans,1941-01-01,United Kingdom,
2007,Medicine,Oliver Smithies,1925-06-23,United Kingdom,United States of America
2007,Peace,Intergovernmental Panel on Climate Change (IPCC),,,
2007,Peace,Albert Arnold (Al) Gore Jr.,1948-03-31,United States of America,
2007,Physics,Albert Fert,1938-03-07,France,
2007,Physics,Albert Fert,1938-03-07,France,
2007,Physics,Peter Grünberg,1939-05-18,Czechoslovakia (Czech Republic),
2008,Chemistry,Osamu Shimomura,1928-08-27,Japan,
2008,Chemistry,Osamu Shimomura,1928-08-27,Japan,
2008,Chemistry,Martin Chalfie,1947-01-15,United States of America,
2008,Chemistry,Roger Y. Tsien,1952-02-01,United States of America,United States of America
2008,Chemistry,Roger Y. Tsien,1952-02-01,United States of America,United States of America
2008,Economics,Paul Krugman,1953-02-28,United States of America,
2008,Literature,Jean-Marie Gustave Le Clézio,1940-04-13,France,
2008,Medicine,Harald zur Hausen,1936-03-11,Germany,
2008,Medicine,Françoise Barré-Sinoussi,1947-07-30,France,
2008,Medicine,Luc Montagnier,1932-08-18,France,
2008,Peace,Martti Ahtisaari,1937-06-23,Finland,
2008,Physics,Yoichiro Nambu,1921-01-18,Japan,Japan
2008,Physics,Makoto Kobayashi,1944-04-07,Japan,
2008,Physics,Toshihide Maskawa,1940-02-07,Japan,
2008,Physics,Toshihide Maskawa,1940-02-07,Japan,
2009,Chemistry,Venkatraman Ramakrishnan,,India,
2009,Chemistry,Thomas A. Steitz,1940-08-23,United States of America,
2009,Chemistry,Thomas A. Steitz,1940-08-23,United States of America,
2009,Chemistry,Ada E. Yonath,1939-06-22,British Mandate of Palestine (Israel),
2009,Economics,Elinor Ostrom,1933-08-07,United States of America,United States of America
2009,Economics,Elinor Ostrom,1933-08-07,United States of America,United States of America
2009,Economics,Oliver E. Williamson,1932-09-27,United States of America,
2009,Literature,Herta Müller,1953-08-17,Romania,
2009,Medicine,Elizabeth H. Blackburn,1948-11-26,Australia,
2009,Medicine,Carol W. Greider,1961-04-15,United States of America,
2009,Medicine,Jack W. Szostak,1952-11-09,United Kingdom,
2009,Medicine,Jack W. Szostak,1952-11-09,United Kingdom,
2009,Medicine,Jack W. Szostak,1952-11-09,United Kingdom,
2009,Peace,Barack H. Obama,1961-08-04,United States of America,
2009,Physics,Charles Kuen Kao,1933-11-04,China,
2009,Physics,Charles Kuen Kao,1933-11-04,China,
2009,Physics,Willard S. Boyle,1924-08-19,Canada,Canada
2009,Physics,George E. Smith,1930-05-10,United States of America,
2010,Chemistry,Richard F. Heck,1931-08-15,United States of America,Philippines
2010,Chemistry,Ei-ichi Negishi,1935-07-14,China,
2010,Chemistry,Akira Suzuki,1930-09-12,Japan,
2010,Economics,Peter A. Diamond,1940-04-29,United States of America,
2010,Economics,Dale T. Mortensen,1939-02-02,United States of America,United States of America
2010,Economics,Dale T. Mortensen,1939-02-02,United States of America,United States of America
2010,Economics,Christopher A. Pissarides,1948-02-20,Cyprus,
2010,Literature,Mario Vargas Llosa,1936-03-28,Peru,
2010,Medicine,Robert G. Edwards,1925-09-27,United Kingdom,United Kingdom
2010,Peace,Liu Xiaobo,1955-12-28,China,
2010,Physics,Andre Geim,1958-10-21,Russia,
2010,Physics,Konstantin Novoselov,1974-08-23,Russia,
2011,Chemistry,Dan Shechtman,1941-01-24,British Mandate of Palestine (Israel),
2011,Economics,Thomas J. Sargent,1943-07-19,United States of America,
2011,Economics,Christopher A. Sims,1942-10-21,United States of America,
2011,Literature,Tomas Tranströmer,1931-04-15,Sweden,Sweden
2011,Medicine,Bruce A. Beutler,1957-12-29,United States of America,
2011,Medicine,Bruce A. Beutler,1957-12-29,United States of America,
2011,Medicine,Jules A. Hoffmann,1941-08-02,Luxembourg,
2011,Medicine,Ralph M. Steinman,1943-01-14,Canada,
2011,Peace,Ellen Johnson Sirleaf,1938-10-29,Liberia,
2011,Peace,Leymah Gbowee,1972-02-01,Liberia,
2011,Peace,Tawakkol Karman,1979-02-07,Yemen,
2011,Physics,Saul Perlmutter,,United States of America,
2011,Physics,Saul Perlmutter,,United States of America,
2011,Physics,Brian P. Schmidt,1967-02-24,United States of America,
2011,Physics,Adam G. Riess,1969-12-16,United States of America,
2011,Physics,Adam G. Riess,1969-12-16,United States of America,
2012,Chemistry,Robert J. Lefkowitz,1943-04-15,United States of America,
2012,Chemistry,Robert J. Lefkowitz,1943-04-15,United States of America,
2012,Chemistry,Brian K. Kobilka,1955-05-30,United States of America,
2012,Economics,Alvin E. Roth,1951-12-18,United States of America,
2012,Economics,Alvin E. Roth,1951-12-18,United States of America,
2012,Economics,Lloyd S. Shapley,1923-06-02,United States of America,United States of America
2012,Literature,Mo Yan,1955-02-02,China,
2012,Medicine,Sir John B. Gurdon,1933-10-02,United Kingdom,
2012,Medicine,Shinya Yamanaka,1962-09-04,Japan,
2012,Medicine,Shinya Yamanaka,1962-09-04,Japan,
2012,Peace,European Union (EU),,,
2012,Physics,Serge Haroche,1944-09-11,Morocco,
2012,Physics,Serge Haroche,1944-09-11,Morocco,
2012,Physics,David J. Wineland,1944-02-24,United States of America,
2012,Physics,David J. Wineland,1944-02-24,United States of America,
2013,Chemistry,Martin Karplus,1930-03-15,Austria,
2013,Chemistry,Martin Karplus,1930-03-15,Austria,
2013,Chemistry,Michael Levitt,1947-05-09,South Africa,
2013,Chemistry,Arieh Warshel,1940-11-20,British Mandate of Palestine (Israel),
2013,Economics,Eugene F. Fama,1939-02-14,United States of America,
2013,Economics,Lars Peter Hansen,1952-10-26,United States of America,
2013,Economics,Robert J. Shiller,1946-03-29,United States of America,
2013,Literature,Alice Munro,1931-07-10,Canada,
2013,Medicine,James E. Rothman,1950-11-03,United States of America,
2013,Medicine,Randy W. Schekman,1948-12-30,United States of America,
2013,Medicine,Randy W. Schekman,1948-12-30,United States of America,
2013,Medicine,Thomas C. Südhof,1955-12-22,Germany,
2013,Medicine,Thomas C. Südhof,1955-12-22,Germany,
2013,Peace,Organisation for the Prohibition of Chemical Weapons (OPCW),,,
2013,Physics,François Englert,1932-11-06,Belgium,
2013,Physics,Peter W. Higgs,1929-05-29,United Kingdom,
2014,Chemistry,Eric Betzig,1960-01-13,United States of America,
2014,Chemistry,Stefan W. Hell,1962-12-23,Romania,
2014,Chemistry,Stefan W. Hell,1962-12-23,Romania,
2014,Chemistry,William E. Moerner,1953-06-24,United States of America,
2014,Economics,Jean Tirole,1953-08-09,France,
2014,Literature,Patrick Modiano,1945-07-30,France,
2014,Medicine,John O'Keefe,1939-11-18,United States of America,
2014,Medicine,May-Britt Moser,1963-01-04,Norway,
2014,Medicine,Edvard I. Moser,1962-04-27,Norway,
2014,Peace,Kailash Satyarthi,1954-01-11,India,
2014,Peace,Malala Yousafzai,1997-07-12,Pakistan,
2014,Physics,Isamu Akasaki,1929-01-30,Japan,
2014,Physics,Isamu Akasaki,1929-01-30,Japan,
2014,Physics,Hiroshi Amano,1960-09-11,Japan,
2014,Physics,Shuji Nakamura,1954-05-22,Japan,
2015,Chemistry,Tomas Lindahl,1938-01-28,Sweden,
2015,Chemistry,Tomas Lindahl,1938-01-28,Sweden,
2015,Chemistry,Paul Modrich,1946-06-13,United States of America,
2015,Chemistry,Paul Modrich,1946-06-13,United States of America,
2015,Chemistry,Aziz Sancar,1946-09-08,Turkey,
2015,Economics,Angus Deaton,1945-10-19,United Kingdom,
2015,Literature,Svetlana Alexievich,1948-05-31,Ukraine,
2015,Medicine,William C. Campbell,1930-06-28,Ireland,
2015,Medicine,Satoshi Ōmura,1935-07-12,Japan,
2015,Medicine,Youyou Tu,1930-12-30,China,
2015,Peace,National Dialogue Quartet,,,
2015,Physics,Takaaki Kajita,1959-03-09,Japan,
2015,Physics,Arthur B. McDonald,1943-08-29,Canada,
2016,Chemistry,Jean-Pierre Sauvage,1944-10-21,France,
2016,Chemistry,Sir J. Fraser Stoddart,1942-05-24,United Kingdom,
2016,Chemistry,Bernard L. Feringa,1951-05-18,Netherlands,
2016,Economics,Oliver Hart,1948-10-09,United Kingdom,
2016,Economics,Bengt Holmström,1949-04-18,Finland,
2016,Literature,Bob Dylan,1941-05-24,United States of America,
2016,Medicine,Yoshinori Ohsumi,1945-02-09,Japan,
2016,Peace,Juan Manuel Santos,1951-08-10,Colombia,
2016,Physics,David J. Thouless,1934-09-21,United Kingdom,
2016,Physics,F. Duncan M. Haldane,1951-09-14,United Kingdom,
2016,Physics,J. Michael Kosterlitz,1943-06-22,United Kingdom,
